Product Name,,Rokomari (Book Shop),TC Start Date,28/08/2024,TC Execution Start Date,1/9/2024,,,,,TEST CASE,,,,,,,,,,,,,,,,,,
Module Name,,User Experience & Commerce Management,TC End Date,17/09/2024,TC Execution End Date,17/09/2024,,,,,PASS,63,,,,,,,,,,,,,,,,,
TC_Rokomari_027,Home Page,SID_003,Featured products ,"Verify correct display of ""Product In Stock""status.",Availability status is correctly shown for all products.,Availability status is accurately displayed for all featured products.,N/A,"1.Scroll to the featured products section.
2.Check the availability status for each product.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_028,Home Page,SID_003,Navigation menu links,Verify that all main navigation menu links work as expected.,Verify that each link should direct the user to the correct corresponding page,All main navigation links direct users to the correct pages.,N/A,"1. Click each link in the main navigation menu (e.g., Books, Electronics, Gift Finder).",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_029,Home Page,SID_003,Footer Links,"Ensure all footer links (e.g., Contact Us, About Us, Privacy Policy) are working.",Each footer link should direct the user to the correct corresponding page.,All footer links successfully redirected to their correct pages without issues,N/A,"1.Scroll to the footer of the homepage.
2.Click on each link in the footer.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_030,Home Page,SID_003,Social Media,Verify that social media links on the homepage are functional,Each link should open the corresponding social media page in a new tab.,Facebook Link is not working,N/A,"1.Click on each social media icon/link (e.g., Facebook, Twitter, Instagram)",,,,Failed,,,,,,,,,,,,,,,,,
TC_Rokomari_031,Home Page,SID_003,Homepage Security,Ensure that the homepage is secured with HTTPS.,"The URL should begin with ""https://"", indicating a secure connection.","The homepage URL starts with ""https://"", confirming a secure connection",N/A,1.Check the URL of the homepage in the browser.,,,,Passed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_032,Search Bar,SID_004,Search,Verify that user can searches for the exact title of a book,The search results should display the book,Book is displayed at the top of the search results.,Harry Potter and the Philosopher's Stone.,"1.Go to the Rokomari website.
2.Enter ""Harry Potter and the Philosopher's Stone"" in the search bar.
3.Press 'Enter' or click the search icon.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_033,Search Bar,SID_004,Search,Verify book price in search recommendations,The search suggestions display book titles with corresponding prices.,The book titles and prices are shown in the search suggestions.,Harry Potter and the Philosopher's Stone.,"1.Go to the Rokomari website.
2.Enter ""Harry Potter and the Philosopher's Stone"" in the search bar.
3.Press 'Enter' or click the search icon.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_034,Search Bar,SID_004,Search,Verify that user can search by  specific author,Books by J.K. Rowling appear in the search results.,J.K. Rowling's books are displayed.,"J.K. Rowling""","Type ""J.K. Rowling"" in the search bar.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_035,Search Bar,SID_004,Search,Verify that the search function returns results for a partial book title.,"All books related to ""Harry Potter,"" including all titles in the series, should be display","All ""Harry Potter"" related books are displayed.",Harry Potter,"1.Open the Rokomari search bar.
2.Enter the partial book title ""Harry Potter"" into the search field.
3.Click the search button or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_036,Search Bar,SID_004,Search,Verify that the search function returns relevant results when using a synonym or related term.,"Books related to ""Philosophy,"" including ""Harry Potter and the Philosopher's Stone,"" appear.","Books related to ""Philosophy,"" including ""Harry Potter and the Philosopher's Stone,"" appear.",Philosophy,"1.Open the search bar.
2.Enter ""Philosophy.""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_037,Search Bar,SID_004,Search,Verify search results with misspellings.,"The search engine suggests ""Philosopher"" and shows relevant results, including ""Harry Potter and the Philosopher's Stone.""","The search engine suggests ""Philosopher"" and shows relevant results, including ""Harry Potter and the Philosopher's Stone.",Phylosopher,"1.Open the search bar.
2.Enter ""Phylosopher.""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_038,Search Bar,SID_004,Search,Verify search results with non-English characters.,"Books related to ""??????"" are displayed","Books related to ""??????"" are displayed",??????,"1.Open the search bar.
2.Enter ""??????.""
3.Click search or press Enter",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_039,Search Bar,SID_004,Search,Verify search results with misspellings.,"The search engine suggests ""Philosopher"" and shows relevant results, including ""Harry Potter and the Philosopher's Stone.""","The search engine suggests ""Philosopher"" and shows relevant results, including ""Harry Potter and the Philosopher's Stone.",Phylosopher,"1.Open the search bar.
2.Enter ""Phylosopher.""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_040,Search Bar,SID_004,Search,Verify search results by genre.,"All ""???????"" books are displayed","All "" ??????? "" books are displayed",???????,"1.Open the search bar.
2.Enter "" ??????? ""
3.Click search or press Enter.",,,,Failed,,,,,,,,,,,,,,,,,
TC_Rokomari_041,Search Bar,SID_004,Search,Verify search results by book ISBN.,The book with the matching ISBN is displayed,The book with the matching ISBN is displayed,9.78075E+12,"1.Open the search bar.
2.Enter ""9780747532743.""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_042,Search Bar,SID_004,Search,Verify search results by publisher.,"All books published by ""Penguin Books"" are displayed","All books published by ""Penguin Books"" are displayed.",Penguin Books,"1.Open the search bar.
2.Enter ""Penguin Books.""
3.Click search or press Enter.",,,,Failed,,,,,,,,,,,,,,,,,
TC_Rokomari_043,Search Bar,SID_004,Search,Verify search results with a single character input.,"Results containing or starting with ""A"" are displayed.",Books relates to A are displayed,"Test Input: ""A""","1.Open the search bar.
2.Enter ""A.""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_044,Search Bar,SID_004,Search,Verify search behavior with an empty string input.,"Search does not execute; an error message "" Please fillout this field ""is displayed.","Error message is displayed.
","""""","1.Open the search bar.
2.Enter an empty string.
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_045,Search Bar,SID_004,Search,Verify search results with two-character input.,"Results containing or starting with ""AB"" are displayed",AB related things are displayed,""" AB""","1.Open the search bar.
2.Enter "" AB ""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_046,Search Bar,SID_004,Search,Verify search behavior with the maximum allowable characters.,Search executes and displays relevant results without truncating input,results are displayed ,"""aljsaksjjaksh""","1.Open the search bar.
2.Enter "" akskajakdj ""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_047,Search Bar,SID_004,Search,Verify search behavior with input exceeding the maximum length.,Verify search behavior with input exceeding the maximum length.,results are displayed ,"""aljsaksjjaksh""","1.Open the search bar.
2.Enter "" akskajakdj ""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_049,Apply filter,SID_005,Filters,Verify that the filter by price range displays books within the specified price range., Only books priced between 200 and 500 BDT should be displayed.,Only price specific books are displayed ,Price Range: 200 - 500 BDT,"1.Open the search bar.
2.Enter "" akskajakdj ""
3.Click search or press Enter.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_050,Apply filter,SID_005,Filters,Verify that the filter by author displays books written by the selected author.,Only books authored by J.K. Rowling should be displayed,Only specific author books are displayed ,J.K. Rowling,"1.Open the Rokomari website.
2.Navigate to the books section.
3.Apply the filter for the author ""J.K. Rowling.""",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_051,Apply filter,SID_005,Filters,Verify that the filter by price range displays books within the specified publisher,"Only books published by "" ???????? ???????????  ""  be displayed.","Only books published by "" ???????? ???????????  ""  are displayed.",???????? ??????????? ,"1.Open the Rokomari website.
2.Navigate to the books section.
3.Apply the filter for the Publication ""???????? ??????????? """,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_052,Apply filter,SID_005,Filters,Verify that the filter by genre displays books from the selected genre,Only books under the Science Fiction genre should be displayed.,Only price specific genre are displayed ,Science Fiction,"1.Open the Rokomari website.
2.Navigate to the books section.
3.Apply the filter for the genre ""Science Fiction.""",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_053,Apply filter,SID_005,Filters,Verify that the filter by rating displays books with the selected rating or higher.,Only books with a rating of 4 stars or higher should be displayed.,Hight ratingg specific books are displayed ,4 stars and above,"1.Open the Rokomari website.
2.Navigate to the books section.
3.Apply the filter for 4-star ratings and above.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_054,Apply filter,SID_005,Filters,Verify  the filter by availability,Only books that are currently in stock should be displayed.,Only in stock books are displayed ,In Stock,"1.Open the Rokomari website.
2.Navigate to a category or search for a book.
3.Apply the filter to show only ""In Stock"" items.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_055,Apply filter,SID_005,Filters,Verify Filter by Language,Only books written in English should be displayed.,Only English books are displayed ,English,"1.Open the Rokomari website.
2.Navigate to a category or search for a book.
3.Apply the filter for the language ""English.""",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_056,Apply filter,SID_005,Filters,Verify Filter by Discount Percentage,Only books with a discount ranging from 10% to 20% should be displayed.,Only discount books are displayed ,Discount Percentage: 10% to 20%,"1.Open the Rokomari website.
2.Navigate to a category or search for a book.
3.Apply the discount filter for books with a discount between 10% and 20%.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_057,Apply filter,SID_005,Filters,Verify Filter with Zero Price Range,The search should showing a message indicating no product found,It shows no producy found ,0 to 0 BDT,"1.Open the Rokomari website.
2.Navigate to the filter section.
3.Apply a price range of 0 to 0 BDT.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_058,Apply filter,SID_005,Filters,Verify Filter with Extremely Large Input Values,"he system should handle large values gracefully, ideally by showing a message indicating the limit or returning no results if no books match the criteria.",It shows no producy found ,1000000,"Open the Rokomari website.
Navigate to the filter section.
Apply an extremely large value (e.g., 1,000,000 BDT) in the price range.",,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_059,,,,,,,,,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_060,,,,,,,,,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_061,,,,,,,,,,,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_062,,,,Account Login, Check login with Invalid phone number ,Should allow user to register,Found as per expectation,Dipto124234569,"1. Go to the URL
https://www.startech.com.bd/ .                    3. Click on login link.",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_063,,,,,Checking login button with valid credentials,Should allow user to register,Found as per expectation,"Firstname: veronica
Lastname: dsouza
Email: veronicadsouza970@gmail.com
Password: veronica@44
Confirm Password: veronica@44","1. Go to the URL
https://www.startech.com.bd/ .                    3. Click on login link.",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_064,,,,,Checking login button with valid credentials,Should allow user to register,Found as per expectation,"Firstname: veronica
Lastname: dsouza
Email: veronicadsouza970@gmail.com
Password: veronica@44
Confirm Password: veronica@44","1. Go to the URL
https://www.startech.com.bd/ .                    3. Click on login link.",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_065,,,,,Checking captcha inputing valid data,,,m433,"1. Go to the URL
https://www.startech.com.bd/
2. Click on the Account button in the right corner.
3. Click the ""Register"" link and put data in the mentioned field.  4. Go to Continue.      5. give otp and password.",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_066,,,,,,Should copy and paste text from fields,Functioning successfully,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_067,,,,,Checking copy paste functionality in every field,Should switch to another field and highlight text,Functioning successfully,jane1111,"1. Go to the URL
https://www.startech.com.bd/
2. Click on the Account button in the right corner.
3. Click the ""Register"" link and put data in the mentioned field.  4. Go to Continue.      5. give otp and ",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_068,,,,,Checking keyboard tab button functionality,Should switch to another field ,Functioning successfully,Enter tab in every field,"1. Go to the URL
https://www.startech.com.bd/
2. Click on the Account button in the right corner.
3. Click the ""Register"" link and put data in the mentioned field.  4. Go to Continue.      5. give otp and ",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_069,,,,,Checking keyboard enter button functionality,,,input Enter in every field,"1. Go to the URL
https://www.startech.com.bd/
2. Click on the Account button in the right corner.
3. Click the ""Register"" link and put data in the mentioned field.  4. Go to Continue.      5. give otp and ",,,Passed,,,,,,,,,,,,,,,,,
TC_Rokomari_070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_071,,,,,,,,,,,,Not Executed,,,,,,,,,,,,,,,,,
TC_Rokomari_072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_Rokomari_099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
